Date,Product_ID,Order_Quantity,Demand,Inventory_Level,Lead_Time,Machine_Availability,Supplier_Reliability
2024-01-01,A,112,81,960,11,1,0.8790550473839461
2024-01-01,B,131,112,314,11,1,0.8001125833417065
2024-01-01,C,113,53,230,6,0,0.9165996316800474
2024-01-01,D,167,67,485,12,1,0.7912726728878613
2024-01-01,E,31,137,956,1,1,0.8199582915145767
2024-01-02,A,197,109,882,14,0,0.8855158027999261
2024-01-02,B,117,84,343,9,0,0.8822634555704315
2024-01-02,C,30,102,266,2,1,0.9896896099223678
2024-01-02,D,18,119,664,2,1,0.8320457481218804
2024-01-02,E,181,37,134,14,1,0.7546708263364187
2024-01-03,A,141,31,489,6,1,0.7554563366576581
2024-01-03,B,155,119,655,2,1,0.9779976597381382
2024-01-03,C,104,77,370,8,1,0.8562502780077471
2024-01-03,D,199,69,824,13,1,0.9486212527455788
2024-01-03,E,163,118,863,12,1,0.7422772674924287
2024-01-04,A,24,74,164,9,1,0.9316734307889972
2024-01-04,B,145,117,162,11,1,0.913402585824595
2024-01-04,C,172,62,478,5,1,0.8953231076505833
2024-01-04,D,37,36,300,8,1,0.7286230349471233
2024-01-04,E,160,91,827,5,1,0.8912672414065639
2024-01-05,A,44,94,838,5,1,0.9546741472798251
2024-01-05,B,14,119,602,14,1,0.8568198488145982
2024-01-05,C,24,119,653,12,1,0.7094287557060203
2024-01-05,D,61,125,999,14,1,0.8813252137833452
2024-01-05,E,152,72,640,4,1,0.8796596399465608
2024-01-06,A,95,57,677,10,1,0.8900211269531271
2024-01-06,B,143,57,127,12,1,0.9677676995469934
2024-01-06,C,84,148,447,9,1,0.733015577358303
2024-01-06,D,130,56,732,4,1,0.7914343774474086
2024-01-06,E,164,38,417,5,1,0.7808237001395564
2024-01-07,A,161,108,926,6,1,0.8674306006052024
2024-01-07,B,189,142,929,1,1,0.7740628188515803
2024-01-07,C,48,31,486,1,1,0.9993221455146826
2024-01-07,D,196,142,101,2,1,0.7099152198701645
2024-01-07,E,138,48,737,2,1,0.8343349493719274
2024-01-08,A,169,148,935,7,1,0.7712912631977199
2024-01-08,B,47,53,936,4,1,0.8196473327333659
2024-01-08,C,153,126,300,12,1,0.9087438420372645
2024-01-08,D,12,49,863,11,1,0.9133448597314053
2024-01-08,E,156,49,963,7,1,0.9072813214307398
2024-01-09,A,137,68,437,8,1,0.8023199053150776
2024-01-09,B,187,52,514,14,1,0.7685650065391899
2024-01-09,C,153,119,723,9,1,0.7782487524491227
2024-01-09,D,138,77,353,12,1,0.9647909029568019
2024-01-09,E,18,134,198,3,1,0.9691330779857731
